author,comment
@HammedAtanda-zi5mq,C R 7 💯
@CHRISGladden-t6z,g
@JOHNATHANMontanez-z3v,23
@PATRaymond-i6d,5
@AlbaCummings,5
@LONDinh-h7g,"I finally got to see the GOAT CR7 in the white shirt again, what a nostalgia 🔥 I had him to score on Stake and he already did after 46min, this guy still knows how to score. I am so happy I got to live in the period of Ronaldo and Messi in my opinion the TWO GOATS of football, not only one goat but two, end of discussion."
@RUSSELArgueta,g
@KingJonah-q3n,I love Ronaldo very much
@ippangivan3990,Angelo nice skil👍cr7🔥
@HERMANHickman-b1d,5
@ELLSWORTHGalbraith,g
@JewellGoble,23
@RAYFORDTavarez,4
@WADEHarrison-e1g,g
@MucellaEsra,23
@AlganierJalilul-z6m,Cr7 is the king of football
@PaigeLy-t6f,4
@TorieKirkwood,4
@DonaldJBiden-f6h,Al Giraffe 1 Al Capone 3.
@heyy8395,Cristiano Ronaldo the goat suiii 🇵🇹🐐
@Kenzuru7,ronaldo vs joselu
@subhasisroy5680,Ronaldo look 🔥🔥🔥
@darrylng1687,My goat is so happy 🥺
@Jahanzaib-y6g,E
@johanneshuber2000,This YouTuber might have a career in football in the future
@rajibsaputra6660,"Its so clean, the stadium and the broadcast"
@v.thakurfootball24k21,counting....counting and counting...until its 1000+
@AshikMiya-cr8kd,❤❤❤❤❤❤❤❤❤❤❤
@07naturelover,Siuuuuuu 🐐💪🇧🇩🫶🇧🇩
@JIdaiko,GOAT
@saykatkarmaker4348,❤❤❤CR7
@baperaspot-ih2xs,Angelo like di maria
@joseenguru1796,Da goat 🐐 CR7 doing his things as usual.
@bhabhawise8801,Wow CR7
@TheRealdeal1659,Angelo should be playing in Europe
@bryandanteruiz7876,We sold Angelo for madueke
@swarajbera,The GOAT 🐐
@ricardoo7haha,"2:14 Cristiano  (46’)
2:41 Angelo     (64’)
3:05 Cristiano (58’)"
@DeepakKumar-ou7cd,Cr7 ❤
@munjiric,2:51 look pendu falling inside the penalty box like a fool. Pendu would have got a penalty for no reason😂
@FootballO850,KSI❌ KSA✅
@IsmayilAhmedov-h5h,C.Ronaldo ən güclü futbolçudur hətta hər hansısa bir oyunda qol vura bilməsə belə yenə də onun bu yaşında meydanda etdikləri təqdirə layiqdir.....❤❤❤❤👍👍👍👍
@RoadTripperrr,"Ronaldo is great, but the quality of this football is like women's league. Laughable if he counts these goals getting to 1000"
@JanusJohannes,Age is Just A Number to Cr7...and he makes the league  look easy or scoring of goals a walk in a park...He was born to score goals...The MACHINE!!!
@reconek6990,"Mbappe please 😅,,"
@bibhushanrajthala,White jersey with gold names flashback
@phumlanindzinisa7586,The goat 🐐  himself
@Xeric_edit,beno did it 1 v 3 ❤❤
@bonganimathabela4938,He is back at his best as we all know him I still can't believe this guy is will turning 40 soon...
@Aka_Riaj_Chy,02:00 awesome
@SuccessIsAHabbit,"Ronaldo still smashing the champions league says a lot, Saudi league is severely underrated"
@ICE329,🤘🤘🤘
@Sonosatsu98,Siuuuu
@aszeyoung,@ishowspeed
@masoodajouhaar673,My goat 🥲❤
@JamesLwanda-m2e,I like second goal from cr7
@anaksaudi5658,why joselu in here?
@agungnugroho8186,Trending #2
@ripjjjsphrbggsk6292,mr champions league
@SRK-Football,Please comeback in real Madrid cristiano 😭
@SaydilhojaMamidov,Siuuuuuuuu
@davidngugi1051,Arsenal jersey in the stands...hollla
@MDSAIDUL-k2d,Boss CR 7❤
@jimmymthombeni3561,Cristiano is the perfect striker
@sanso-sc5vh,Algello is such a great player
@ericksamwel5326,"Angelo is such a joy to watch, wonderful player"
@vishalcatter4737,AFC just robbed mohun bagan
@Vikhosiilou,GOAT
@user-si9bn5bx2g,That angelo guy is fire
@foysal_ahmed_53,CR7❤
@matvei_fedotenko__,Al Nassr the futur champions of the AFC Champions League 🏆📢💛💙
@Theliteratepanda,"CR7 class as always 
But Angelo was excellent 
The link up between CR7 and Angelo would be fun to watch"
@figihtecno,"Pengelola GBK suruh ke timur tengah aja gih, negara iklim panas aja rumputnya bagus-bagus, GBK malah bapuk malu maluin"
@galihayukinantiarief5601,CARELESS 061 - ALKA SELTZER ❤
@dsk3241,Ronaldo looking handsome in this match ❤
@yung2049,"if he were unstoppable, he won't go to AFC, just like Modric."
@dadangabdurachman1209,3 peluang emas ga gol
@SaintMartins,"CR7      > 2:13  ssiiiuuuuu
Angelo > 2:40
CR7      > 3:02  ssiiuuuuuu"
@imunpublik490,Eazy banget gak sihh klo team itu kompak
@conqueror_master,Age is just number❤
@divyanshsachdeva2295,CR7 ❤🔥
@Omar2311Aa,النصر كبير اسيا
@MinlunGuite-sk5uj,Cris you made my day
@mrfie5450,Jumlah Jaringan gol Cr7 dah sama dengan jumlah gol AA kan?
@RawalHhari,Messi❤❤❤
@arryreddyanto,CR7 ❤ Living Legend 🎉
@faridfirmino4279,CR Legends
@PhyoHeinKyaw-tx3oz,Pessi🤡
@WilfredLungu-ow7ph,Siuuuuuuuuuuu
@OmarSuleiman-o1k,chelsea made big mistake....angelo is a star better than nonzino
@brunomatunhu9516,Cr7 I support you here in SA🎉
@user-wm7yz5yu1o,Ronaldo is the king of football.🎉🎉🎉
@Human87563,1:47 Brilliant block 🔥
@abdulaziznorqulov-bz6gj,all three goals of Al Nassr were phenomenal
@MedetKairanbaev,Роналду лучший
@MikeCrawch,"Angelo so unselfish.
He could’ve try to take the shot himself but decided to pass to Ronaldo.
What a team player."
@alynlika8968,Ronaldo in white is always dengerous.
@faalerrasi9396,CR7 luar biasa
