author,comment
@LewyAndRaku,Angelo will be next best winger troust me
@นุติเกื้อกิจ,CR.7 ❤
@JohanRumkorem-i9r,CR7 ❤❤❤❤❤❤
@TheSeeth7,great perfomance by angelo
@panggihbasuki-x1i,Itu wasit pertandingan Indonesia vs korea
@IyekDKSH,Ronaldo GOAT 🔥
@sontolloyo847,kalo ronaldo ga di ganti pasti nambah
@rex_yolo,a Jersey that reminds him of when he was in Europe
@katailham819,Angelo Gabriel 😢
@nizam_mr,White kit vibes 😬👌
@Nobrainwashing12,My favorite youtuber😂
@juanboada5031,IL ARTHILEIRO DE DEUS CR7  ⚽⚽=913SIIUUU 💪
@princeharry5792,"Unfortunately, nobody understands the amount of though competition & superstars he faces weakly at 39!! Poland, Croatia, Scotland, auba & natcho, ferminho, fabinho, kante, benzema, savitc, mitrovic, bounou, cancelo, rodi, paninga, carrasco, kessie, tony, mehrez, raktic.... and much more in the SPL and haters still find a way to cry & complain 😂"
@phatdat3120,😊
@yummychun6065,Ronaldo🎉🎉🎉
@ravs7964,He looks younger in this match🔥🔥🔥
@RishedAhammed,🎉🎉🎉🎉
@biscoff6188,MY GOATTTT
@matheb7209,"Só eu que achei que o Ângelo jogou demais ? Ta maluco, foi o melhor do jogo, fácil"
@AR-zq5xi,Ronaldo received a moral boost by wearing a Real Madrid-like kit. 😁
@napamboro2832,91.3%
@HAyoutube93,This seems like much better quality than MLS
@mostafaebrahimi6905,CR 7 Suuuuu❤
@luaaizamil,Ronaldo happy we happy 😁
@jeanlee267,For ronaldo second goal he pushed the ball with his outside foot and broke the defenders back😂 3:20
@John-w7,Ronaldo doing what he does best
@NursalBonca,Ronaldo 💪💪💪💪🔥🔥🔥🔥🔥🔥🔥🔥🔥
@ManUniiverse,💙💛
@wildanewildan,DominaSiuuuuu🐐🤍
@niseel1722,Penaldooooo😂😂
@Nik0_07,Who is Cristiano Ronaldo? He is the goat bruhhh siuuuuuu 🐐🔥🍿
@mdsirajurrahman1079,CR7 👍👌💪
@ensarsama3884,At this age is insane
@ratanakphin7561,Cr7 ❤
@kavikumar1602,🔥🔥🔥❤️👏👏🐐👑 CR7.. Al Nasar played well but they still need to improve in defense. ❤❤❤
@RhythmCollection-t5i,Qatar football is death uae beat them so badly now even club label hababi what’s wrong 😂
@yudhaadityafiandra3254,Ankara Messi Ankara Murka Messi.
@alvinlyndohalvin6549,Ronaldo👍👍👍
@LongSamniengpol,Angelo goal...amazing skill
@ewa02,salfok wasit nyaa
@masrukin1202,Andri Syahputra Sudarmanto  (A. Mento)
@Faisaltm2,Ronaldo will always deliver in the Champions league nights 🐐👑
@Ruaa.aa7,"Cristiano's happiness is my happiness, no one gives me this pleasure except him"
@Uwajojo2023,Mencetak gol ronaldo jaminan mutu semoga al nassr menjadi juara liga arab juga champion timur timur tengah Aamiin YRA 🤲🤲
@JakeeJakee-r7f,The goat 🐐
@Hanin_dhya,Jersey mirip real madrid
@isabellaeats,Our goat is cooking goalsss
@mhfdzar17,1000 goal.
@CBRRR-ew3hq,G.O.A.T
@mowde_77,Ronaldo is a machine 🎉
@MochHaris112,Indonesia 2 - 0 Arab Saudi 😂
@CBRRR-ew3hq,Siuuuuuuuuuuu
@azharjr3418,*Mr Champions League* 🐐
@FiveNightsAtFreddysOficial,CRISTIANO RONALDO É UMA MÁQUINA DE FAZER GOLS😮
@PKvandamwalks,Quá hay Cristiano Ronaldo
@setyobusono8694,SIUUUUUU ⚽👑🔥
@andiirawan4292,Menolak tua
@binjumsora922,CR8 reason for world football being most watched...!
@DiraRifki-c6j,Sergio rico eks leeper sevilla
@sarfaraz2363,Suiiiiii ❤
@moh.zakariya4376,Joselo ternyata kesini
@hambaallah6409,Looking for a comment no No penalty No party.
@nebur4412,Ronaldo playing in white kit... as a Spaniard this gives me vibes 🥺
@simpel-logic,"00:28 Ronald bahkan mengabaikan untuk melakukan jabat tangan dengan wasit lainnya.
Konyol 😂😂"
@weebhousewife,Is it just me or CR7 looks thinner. .?
@Siadin-s9j,Возрождение Роналду!!! Лучший!!!
@neymarnirmal322,Cr7❤❤
@atlantis.people,Joselu x Ronaldo (Madrid 2012) 🤩
@muhammadrifqi4807,Siuuuuu❤❤❤❤❤
@nasaudi1,RONALDO IS THE GOAT 🐐
@abijosegun7246,"Wicked 3rd goal by Ronaldo,destroyed the defender 😭🔥"
@pendeegaming4847,If CR7 joined alien league he still top score sheet
@D.Baatar44,GOAT 🐐🇵🇹👑♥️
@hambaallahpenuhdosa8748,gol 913❤
@josemariadesa5331,Siuu 🎉🎉
@Kerjakerjakayanyakapan,Pioli is onfire
@AhmedFaisalFajrin,CR7 onfire 🔥👏
@riyono505,"1000 goal ,,,,on the way"
@Anonymous-wv7mm,"At this rate, i just hope for the best for CR7🔥🔥"
@rbchanel1510,Konsisten cetak gol 🎉
@orlandosilva552,VIVA CRISTIANO RONALDO
@marliyanton2630,Goat
@Y8syx,Literally pond water level 🤧
@EMRAH-BURCU-ALTIN,angelo hakkini verin super oynuyor ronaldo G.O.A.T❤
@123liveevent,"CR7 and Joselu, Both of them is giving BIG contribution for Real Madrid to get the (UEFA) Champions League Title, and now they face to face in AFC Champions League Elite Title 🔥"
@DawdaKMalang,Mr Champions League CR7🐐
@OnepieceLuffy-ew4yp,Angelo mantap main nya
@akinbiyijohn5355,Angelo❤
@Mr.Robot777,CR7 GOAT❤
@الراصد-ر2ه,"اليوم تمتعنا  في مشاهده اهداف جميله جدا  ل  كريستيانو  وانجيلو       وتمتعنا ايصا في  لعب النصر ونجومه   ...الانديه  السعوديه جميعها  في القمه .
🇸🇦 ❤🇸🇦"
@Thiagoxp-lf3tu,❤
@Thiagoxp-lf3tu,GOAT 🐐
@paridancefitness790,CR7 is still on fire❤
@RonaldMutebo,CR7 Top Class LEGEND never to be forgotten.
@patrisiussanchezdeiku1439,CR7 on fire🔥
@7AYRE6,CR7 ❤❤❤
@SnakeEyes6969,"Dude is just ridiculous, how TF he's still competing with this level?!"
@TerrasilDangdaa,The only one the GOAT 🎉
@kenzodaeli5329,Ronaldo (Real Madrid) & Joselu (Real Madrid) 🤍🤍🤍
@frenzyjames,Joselu loves to score a rebound 😂
@SutanManabik-d3t,Vamos Comtudos Al-Nassr team and Capitano CR7 🔥💪💙💛
@batcs9,goat
@debatthebing6ligainggris513,FT : Indonesia 2-0 KSA
@anthonykc4707,Al nassr defence is too weak
@BenhatPeduliYou-7,"Cristiano, is the King of Europe and the World's Best Player of All Time👍👍. Siiiiuuuu🔥🔥🔥"
@ibekwegodswill2746,Legend❤
@ardiansah7994,Indonesian vs saudi arabia 2-0 Qualifers Asian
@denbagus8447,Saunds evans
@defafa9249,CR7 😂
@AIllustration25,"CR7 unstoppable! If he plays like this in RSL, the goalkeepers might retire early
😂"
@sothdestiny9496,That Brazilian  is on fire
@arifikram1502,"2 former Real Madrid players scored😢 Cristiano did that without ""natural talent"""
@lotekkaredok1866,Chelsea will surely regret selling Angelo
@ayismukholik5652,Real goat
@laurentpommey1923,Who cares watching the retired footballers league….
@The_Curious_Cat,El bicho. Monster. GOAT. What a player. CR7 best ever.
@FerdiCR-ky2sj,Ronaldo number one of all time
@galaxytb147,GOOOOOOOAAAAAAAAAAATTTTTTTTTTTT 🙌👏🥇🏆👑🇵🇹🐐
@FodayJallow-d4s,❤❤❤❤❤👏👏👏👏👏💪💪💪
@mahendrasinghsaud4747,GOAT 🐐🐐
@emmanuelugwunne321,Messi fans running away
@emmanuelugwunne321,Highest goal scorer in ACL. Wow
@xxxiceman1980,🐐CR7
@MuhammadSalah-pp3mj,Look at that genuine smile at 3:11
@neymar5618,"2:08

2:59"
@BDSportsEdit,CR7 The GOAT Forever 🐐❤️🥹
@flowerkagurayt1327,Legendary joselu meet the most legendary real madrid player cr7 ❤
@nilaaplayzyt,Mane is just non existent
@OwningGayonelCryonelFraudPessi,"That now makes it 2 MOTM, 4 open play goals, 1 panenka penalty and 1 assist in his last 3 games for the GOAT!! CR7🐐🇵🇹"
@506fahad506,Saudi Team is the Best
@kristiantoppgdaljabpgsdunt8771,1.000 goals will be come real
@Husin-ce9sz,CR7 912 Goal❤❤❤
@myn.y405,913 SUUUU 😮👑💛💙👑
@innocentonyebuchi8028,"Chelsea what have we done, Angelo  😢 the future of our club"
@Natu-cb1bo,Siuuuuuuuuuuuuuuuuu🦵🦵🦵💪💪💪
@NasimYusupov-yf2jm,Такого футболиста больше не рождается и это факт 💯
@RituSharma-dq4kg,Ronaldo is coming to his prime and end❤😢
@Jobinjohn660,1st goal was amazing 2nd goal was unstoppable 👍
@sigembel2562,Bahkan hampir stiap pertandingan dia mncetak goal apa mereka masih membandingkan bandingkan dgn messi.. Mnurutku messi sudah tdk bisa brsaing lagi
@UndanginOfficial,Rooooonaldooo
@AbejegahPascal,CRISTIANO RONALDO THE GREATEST OF ALL TIME ❤❤❤❤❤
@mobeenkhan2381,Insane 🎉
@skinindagame_,"Finally, he got better again. More confident."
@jokobudimans5693,❤❤cr 7
@marciosimoesbraz7074,Este gajo não é um ser humano
@mattius-qu4ln,The fake goat
@Daïshi13225,Angelo aussi est très bon❤
@jakedoit5380,Who is Angelo?😮
@SaifulAli-fh7bh,Cr goat7 🔥
@Abror408,Joselu and cr7 . Past striker madrid😂
@TheViewEntertainment,Bro mane is like a ghost in this team 😑 but as long as he’s getting Arab money 💰 it’s alhamdulillah 😌
@Daïshi13225,Cristiano 😢❤
@EricMartinBetancourt-pz5gm,Siuuuuu GOAT
@miniotv6659,Siiuuuuuuuuuuuuuuuu🔥
@rosat1804,❤
@neymar5618,신
@kepet1033,Siuuuuuuuuuuu
@robm6428,SHOULD HAVE BEEN A 5 GOAL NIGHT FOR THE GREAT CR 7 👍💪😎
@andrev17,GOAT 🐐🐐🐐🐐🐐
@lyndxnjoel6917,guess who assisted Joselu's first Real Madrid goal?
@inginnenenn29-92,cool
@SachinDHIMAL7101__,One like for cr7
@KunleKunlex,Goat
@Nguoiphamnhungsausac,FiFa chooses M10 but the whole world chooses CR7.
@AfterFaRhAn_sib,CR7 siuuu was everything ❤
@Wachoatrevido.7,GOAT
@brauliogualim,Champion de arena
@Cyrus-Idris,"Does anyone know what Ronaldo is saying at 1:50 and in what language?

Edit: I find the idea of him just talking to himself in Portuguese and no one understanding him hilarious😂"
@918kiss-c7c,Indonesia gak usah nonton afc.  Gada club yang main afc
@Ggs-player,Congrats alnassr  From colombia 🇨🇴
@MisshuMaia-tj6ek,CR7 🇵🇹🇵🇹🇹🇱🇹🇱💪🤝
@syafiqzahid,With continuous knee injury from 2014 still scoring and keep playing at top level. CR7 ❤
@spriteisgoated,Ronaldo doing goat 🐐 things 👏
@PenCariRezeki9006,☕
@daritangkearung,The Real GOAT😊
@DeBuDDi,mwp goat cr7
@scienceroast9558,"move from there, back to europe"
@Bill-10,"Real Madrid is a team of class all the former strikers scored,Hala Madrid ❤"
@InverseBeasts6000,Joselu Madrid Savior💔
@Emre_Za,Gaynaldo scores again
@mohdfarizal1724,913 goals
@luckyyvan9568,"Clear Highlights,thanks AFC"
@zuhenriques9403,CR7 onfire.
@dembaCity,🐐
@herisuryawan6667,Apakah dia joselu
@vyckztograph8910,Siiiiuuuuuu...!!!
@NotohardjoAndi-oq6hh,Yess goat cr7 ...
@BiggyWarrior,Cr7❤❤❤❤
@boendahbandofficial8628,ronaldo baju putih nostalgia dia mode bantai😂
@shadow.walker7,Goat is back to his best form❤
@arafathameer2715,GOAT getting better and better everyday 🐐🔥😎❤️
@kevinmbabazi3402,1000goals
@repentgh5120,Cr7❤❤❤
@Kinvk18,87 more .......
@goatCR7_6,he isnt finished
@yadedits2869,"Al Nassr in league:😢
Al Nassr in ACL:💀"
@ECPyro2,🎉🎉
@dotcom137,and people say he statpads... just needed 1 for a hattrick but went out with 20 min remaining
@easytvlogs,Can Al Nassr play like this in RSL please
@ojikusnadi1989,Goatnaldi Indonesia❤❤❤
@LaughingWithGoldbridge,🐐
@lindagabela182,...like fine wine 🔥
@atunatun4475,Pertama
@Ronaldo-t9o4i,SUuuuuuuu
